match_id,formation_x,formation_y
a245a320,3-4-1-2,3-5-2
19e4f4e1,4-1-4-1,3-5-2
6831c785,3-5-2,4-3-3
49b7020f,4-4-2(d),3-5-2
313d2dae,3-5-2,4-3-3
862e9aa4,4-3-3,3-4-1-2
a32f4fbb,4-2-3-1,3-5-2
6f16389f,4-4-2(d),4-2-3-1
cb90525c,4-1-4-1,4-2-3-1
1fda77e0,3-4-1-2,4-1-4-1
2f4aa1f5,4-2-3-1,4-4-2(d)
affc0fe8,4-1-4-1,3-4-3
aca37691,4-2-3-1,4-1-4-1
840ce0cb,4-3-3,4-3-3
101530b8,3-4-1-2,3-5-2
6f5ad83d,3-5-2,3-4-3
ce284ede,4-4-2,4-2-3-1
ae563dd4,4-2-3-1,4-1-4-1
415a29f8,4-4-2(d),3-4-1-2
e3c5739e,4-3-3,4-3-3
e3479527,3-5-2,3-5-2
c3c39e38,3-5-2,4-2-3-1
9b67a029,4-4-2(d),4-4-2(d)
2e76f65a,4-4-2,4-1-4-1
066e3e47,4-2-3-1,3-5-2
e36d3ced,4-3-3,3-4-1-2
b59bd9ce,3-4-3,4-4-2(d)
68f552be,4-4-2,4-2-3-1
5c0c22ff,4-4-2(d),3-5-2
8ba5ed54,4-2-3-1,4-4-2(d)
d88079fd,3-5-2,3-4-3
4f155066,4-3-3,4-4-2
0e59cb2d,4-2-3-1,4-4-2(d)
5fad6240,4-3-3,4-2-3-1
8459bd0f,3-5-2,4-5-1
576fdefd,3-5-2,4-4-2
fa611375,3-4-3,3-4-3
448e24e4,3-4-1-2,4-4-2
48fa50ac,4-3-3,3-5-2
cd823be3,4-1-4-1,4-2-3-1
c80aada7,4-2-3-1,4-3-3
8e8124ef,4-4-2(d),4-2-3-1
02703856,4-3-3,4-3-3
26c4d0d9,3-4-1-2,4-4-2(d)
dde5d4cc,4-2-3-1,4-1-4-1
70050a84,3-5-2,4-4-2(d)
d1f02acc,4-3-3,4-2-3-1
947b6749,4-4-2(d),4-3-2-1
d2f0564b,4-3-3,4-4-2
1721a767,4-2-3-1,3-4-1-2
529ae2fe,4-4-2,3-5-2
e2891005,4-3-3,4-1-4-1
ead1544a,4-4-2,4-4-2
4b3124e4,3-5-2,4-4-1-1
1ccb7f2a,4-2-3-1,3-4-3
64c6b172,4-3-3,3-4-3
ca302c1f,4-2-2-2,4-4-2(d)
cc473b97,4-2-3-1,4-2-3-1
db6a3cfb,3-4-3,4-4-2
e2f8f9ad,4-3-3,4-2-3-1
8ba606b2,3-4-3,4-2-3-1
e0231248,4-4-2(d),4-2-3-1
eef5167d,3-4-3,3-4-3
e9b15f14,4-2-3-1,3-4-3
b525a1fd,4-4-2,4-4-1-1
189b5f4d,4-4-2,3-4-1-2
5a21ab95,3-4-3,4-3-2-1
83bc5f60,4-2-3-1,4-4-2
43413413,4-4-2,4-1-4-1
c8ba489a,4-4-2(d),4-4-2(d)
abd795f9,4-3-3,4-3-3
32ccc187,3-4-3,3-4-3
cd9bb26d,4-3-3,3-4-3
2fd6cc1c,4-2-3-1,4-4-2
75285bcb,4-2-3-1,4-2-3-1
c4f71b34,4-2-3-1,4-2-3-1
54dc9bfa,3-4-3,4-4-2
754f3cb7,4-1-4-1,4-2-3-1
a3593fb1,4-4-2,4-4-2(d)
93dae41d,4-4-2,4-2-3-1
eab80c86,4-4-2(d),4-4-2
9e976755,3-4-1-2,4-3-3
64a7c69d,4-4-2,3-4-3
2575bd97,4-4-2(d),3-4-1-2
3a966674,4-4-2,3-5-2
363c24f8,4-2-2-2,4-4-2(d)
534233af,4-2-3-1,4-2-3-1
d45139a3,4-4-2,4-4-2(d)
85eb07fd,3-4-3,4-2-3-1
be861db2,4-4-1-1,3-4-1-2
cf45f74d,4-4-2,4-4-2
e62723b4,4-2-3-1,4-4-2(d)
1e5eb447,3-4-1-2,4-4-2
31dd96bf,4-2-3-1,4-4-1-1
664edff5,4-2-3-1,4-4-2
3866da30,4-2-3-1,4-4-2
a00d21f0,3-5-2,3-5-2
dfde441c,4-4-2(d),3-5-2
af30fff5,3-5-2,4-2-3-1
2da74ba0,3-4-3,4-1-4-1
21238616,4-2-3-1,3-4-1-2
d3250bc6,4-4-2,4-2-3-1
